dataset,model,MASE,WQL
AALI,amazon/chronos-t5-small,3.088211660598706,0.032658211655999754
ANTM,amazon/chronos-t5-small,3.8895416165865377,0.06139035188668825
ARTO,amazon/chronos-t5-small,8.042400616009724,0.2606744397047319
BBCA,amazon/chronos-t5-small,2.571105611082995,0.01760045320412303
EXCL,amazon/chronos-t5-small,5.424787231827978,0.09537388111447301
ISAT,amazon/chronos-t5-small,4.048797807096542,0.07618229008082306
KLBF,amazon/chronos-t5-small,1.6614532381864893,0.01576264783509372
TKIM,amazon/chronos-t5-small,4.855189722909173,0.05445087280859751
TLKM,amazon/chronos-t5-small,8.732330934528802,0.12916829427083332
